assessment_id,Emp_ID,course_id,score_prct,method_of_assessment,assessment_date
null,E0013,C0050,71,Hands-on,2021-08-19
null,E0017,C0033,84,Applied Project Simulation,2023-03-28
A0003,E0018,C0029,41,Hands-on,2026-02-09
A0003,E0018,C0029,41,Hands-on,2026-02-09
A0004,E0018,C0009,60,Hands-on,2021-12-23
A0005,E0019,C0025,60,Hands-on,2023-01-24
A0006,E0021,C0027,99,Applied Project Simulation,2024-10-27
A0007,E0023,C0025,57,Hands-on,2023-11-09
A0008,E0023,C0031,68,Hands-on,2022-08-06
A0009,E0024,C0041,41,Applied Project Simulation,2024-07-05
A0010,E0025,C0033,85,Applied Project Simulation,2023-05-22
A0011,E0027,C0032,78,Client Interview,2021-06-07
A0012,E0028,C0024,77,Competency,2022-09-20
A0013,E0029,C0010,84,Competency,2026-04-17
A0014,E0030,C0014,67,Competency,2022-08-11
A0015,E0031,C0029,62,Hands-on,2025-07-17
A0016,E0039,C0045,86,Client Interview,2023-10-14
A0017,E0041,C0043,76,Applied Project Simulation,2025-04-17
A0018,E0041,C0047,76,Client Interview,2025-08-15
A0019,E0046,C0031,41,Competency,2022-04-08
A0020,E0048,C0038,65,Hands-on,2021-05-04
A0021,E0049,C0024,62,Hands-on,2022-11-03
A0022,E0050,C0025,76,Hands-on,2022-10-13
A0023,E0053,C0010,57,Client Interview,2025-10-30
A0024,E0057,C0017,54,Competency,2025-06-14
A0025,E0058,C0047,79,Competency,2025-10-23
A0026,E0058,C0017,41,Applied Project Simulation,2024-12-29
A0027,E0059,C0025,80,Applied Project Simulation,2023-04-09
A0028,E0059,C0013,94,Applied Project Simulation,2026-01-01
A0029,E0061,C0022,52,Competency,2026-05-28
A0030,E0062,C0025,95,Applied Project Simulation,2022-09-29
A0031,E0063,C0045,81,Competency,2024-08-02
A0032,E0068,C0014,83,Competency,2024-02-03
A0033,E0070,C0050,93,Applied Project Simulation,2021-04-29
A0034,E0072,C0022,76,Hands-on,2026-02-22
A0035,E0073,C0007,53,Client Interview,2025-10-25
A0036,E0073,C0006,77,Hands-on,2022-06-22
A0037,E0074,C0041,40,Hands-on,2024-06-11
A0038,E0076,C0021,74,Hands-on,2024-09-06
