enrollment_id,Emp_ID,course_id,enrollment_date,training_provider,course_status
En01603,E1002,C0027,2021-10-24,T0158,Completed
En01604,E1002,C0018,2022-03-08,T0190,Cancelled
En01605,E1003,C0023,2024-11-06,T0160,Completed
En01606,E1003,C0006,2022-03-07,T0098,In Progress
En01607,E1003,C0009,2022-01-29,T0145,In Progress
En01608,E1004,C0020,2024-07-09,T0076,Completed
En01609,E1005,C0022,2025-09-30,T0068,Completed
En01610,E1005,C0023,2024-02-28,T0196,Enrolled
En01611,E1006,C0029,2026-02-14,T0099,Completed
En01612,E1006,C0006,2022-03-27,T0178,Completed
En01613,E1008,C0020,2024-05-19,T0076,Cancelled
En01614,E1008,C0047,2025-07-26,T0140,Completed
En01615,E1008,C0034,2022-07-17,T0105,Enrolled
En01616,E1010,C0016,2020-10-08,T0085,Cancelled
En01617,E1011,C0033,2022-10-21,T0080,Completed
En01618,E1012,C0030,2023-08-12,T0055,In Progress
En01619,E1012,C0010,2025-07-26,T0000,In Progress
En01620,E1012,C0025,2023-07-17,T0017,In Progress
En01621,E1013,C0009,2021-12-28,T0001,Cancelled
En01622,E1013,C0025,2023-05-26,T0142,Enrolled
En01623,E1014,C0025,2023-06-20,T0142,Completed
En01624,E1015,C0018,2022-11-19,T0136,Completed
En01625,E1015,C0035,2021-10-18,T0165,Enrolled
En01626,E1015,C0030,2023-07-11,T0169,Completed
En01627,E1016,C0016,2021-01-28,T0191,Cancelled
En01628,E1016,C0019,2025-11-27,T0197,Completed
En01629,E1017,C0034,2022-10-07,T0146,Enrolled
En01630,E1017,C0046,2023-10-25,T0114,Completed
En01631,E1018,C0040,2022-01-01,T0166,Completed
En01632,E1018,C0035,2021-02-25,T0164,In Progress
En01633,E1018,C0027,2022-01-18,T0088,Enrolled
En01634,E1019,C0015,2025-04-10,T0129,In Progress
En01635,E1019,C0020,2023-09-27,T0076,Cancelled
En01636,E1019,C0019,2025-08-12,T0197,In Progress
En01637,E1020,C0013,2026-02-09,T0156,Completed
En01638,E1021,C0025,2022-08-03,T0037,Cancelled
En01639,E1021,C0027,2022-04-15,T0088,Cancelled
En01640,E1022,C0025,2023-05-26,T0037,Enrolled
En01641,E1023,C0027,2021-03-28,T0058,Enrolled
En01642,E1024,C0026,2024-09-17,T0130,In Progress
En01643,E1024,C0014,2021-08-04,T0149,In Progress
En01644,E1025,C0016,2020-11-09,T0191,Enrolled
En01645,E1027,C0031,2021-08-03,T0010,Completed
En01646,E1028,C0031,2021-09-16,T0152,In Progress
En01647,E1028,C0041,2023-12-17,T0063,Enrolled
En01648,E1028,C0040,2021-10-10,T0194,Enrolled
En01649,E1029,C0043,2024-07-26,T0100,Enrolled
En01650,E1030,C0027,2023-09-02,T0058,Enrolled
En01651,E1031,C0047,2025-12-02,T0026,Completed
En01652,E1032,C0028,2024-04-27,T0150,Completed
En01653,E1033,C0023,2024-05-18,T0196,In Progress
En01654,E1033,C0029,2025-05-13,T0046,Cancelled
En01655,E1033,C0026,2025-04-04,T0081,Enrolled
En01656,E1034,C0037,2026-04-12,T0133,Completed
En01657,E1034,C0040,2025-01-24,T0194,Completed
En01658,E1035,C0042,2022-04-09,T0060,Completed
En01659,E1035,C0048,2026-04-05,T0067,Completed
En01660,E1037,C0012,2022-03-04,T0062,In Progress
En01661,E1037,C0040,2022-06-04,T0194,Enrolled
En01662,E1037,C0037,2025-12-04,T0002,Completed
En01663,E1038,C0035,2021-02-04,T0165,Cancelled
En01664,E1040,C0001,2022-12-02,T0141,Completed
En01665,E1040,C0033,2023-05-14,T0073,Completed
En01666,E1040,C0003,2024-04-09,T0112,In Progress
En01667,E1041,C0038,2021-05-27,T0176,Completed
En01668,E1041,C0025,2022-07-12,T0012,Enrolled
En01669,E1042,C0042,2023-05-06,T0034,Completed
En01670,E1042,C0002,2023-03-30,T0185,Enrolled
En01671,E1043,C0025,2023-06-21,T0037,Completed
En01672,E1044,C0027,2021-04-01,T0161,In Progress
En01673,E1045,C0027,2023-11-09,T0161,Completed
En01674,E1046,C0027,2022-01-28,T0158,In Progress
En01675,E1046,C0046,2023-06-12,T0114,Cancelled
En01676,E1046,C0035,2021-12-08,T0165,Completed
En01677,E1047,C0044,2024-10-14,T0052,Cancelled
En01678,E1048,C0016,2020-10-08,T0085,Cancelled
En01679,E1048,C0014,2021-09-26,T0039,Cancelled
En01680,E1048,C0023,2024-10-18,T0132,Cancelled
En01681,E1049,C0040,2022-03-16,T0167,In Progress
En01682,E1049,C0025,2023-08-11,T0037,Completed
En01683,E1050,C0028,2024-05-29,T0150,Enrolled
En01684,E1050,C0025,2023-03-11,T0012,Cancelled
En01685,E1051,C0018,2023-01-17,T0190,Completed
En01686,E1053,C0005,2024-09-19,T0198,Completed
En01687,E1053,C0042,2024-05-04,T0011,Enrolled
En01688,E1053,C0028,2024-07-03,T0040,Cancelled
En01689,E1054,C0011,2023-12-26,T0200,Completed
En01690,E1055,C0027,2021-07-29,T0161,Completed
En01691,E1055,C0006,2022-01-15,T0178,Completed
En01692,E1056,C0023,2024-10-23,T0162,In Progress
En01693,E1056,C0019,2026-03-16,T0197,In Progress
En01694,E1057,C0013,2026-06-14,T0075,Completed
En01695,E1058,C0021,2024-03-02,T0030,Completed
En01696,E1059,C0023,2024-09-10,T0162,Completed
En01697,E1059,C0047,2025-07-09,T0109,Completed
En01698,E1060,C0029,2026-03-14,T0024,Enrolled
En01699,E1060,C0005,2024-06-28,T0004,Cancelled
En01700,E1061,C0028,2024-05-08,T0072,In Progress
En01701,E1061,C0023,2024-02-11,T0160,Cancelled
En01702,E1061,C0007,2025-08-30,T0029,In Progress
En01703,E1062,C0023,2024-08-07,T0134,Completed
En01704,E1062,C0007,2026-06-01,T0029,Completed
En01705,E1062,C0014,2021-05-17,T0149,Completed
En01706,E1063,C0039,2024-05-12,T0139,In Progress
En01707,E1063,C0013,2025-08-20,T0126,Completed
En01708,E1063,C0031,2021-08-08,T0111,Completed
En01709,E1064,C0025,2023-05-07,T0012,Cancelled
En01710,E1065,C0044,2024-09-05,T0095,Enrolled
En01711,E1066,C0038,2021-04-27,T0117,In Progress
En01712,E1066,C0019,2025-07-04,T0077,Cancelled
En01713,E1067,C0043,2024-09-06,T0089,In Progress
En01714,E1068,C0017,2024-07-21,T0180,Cancelled
En01715,E1069,C0028,2023-10-15,T0018,Enrolled
En01716,E1070,C0038,2021-08-03,T0082,Completed
En01717,E1070,C0028,2024-05-31,T0072,Completed
En01718,E1071,C0024,2023-02-10,T0097,In Progress
En01719,E1072,C0014,2022-08-20,T0149,Enrolled
En01720,E1072,C0015,2025-10-06,T0027,Cancelled
En01721,E1073,C0038,2024-03-22,T0176,Completed
En01722,E1073,C0041,2024-10-12,T0173,Completed
En01723,E1074,C0039,2024-01-08,T0170,Cancelled
En01724,E1074,C0014,2021-10-04,T0039,Cancelled
En01725,E1075,C0039,2023-09-14,T0019,Completed
En01726,E1075,C0046,2023-02-16,T0114,Completed
En01727,E1076,C0030,2024-05-03,T0169,Enrolled
En01728,E1077,C0016,2020-09-26,T0191,Completed
En01729,E1077,C0031,2021-12-17,T0084,Completed
En01730,E1077,C0025,2022-06-05,T0142,Completed
En01731,E1078,C0038,2021-08-06,T0082,Completed
En01732,E1078,C0044,2025-06-22,T0038,Cancelled
En01733,E1079,C0021,2024-07-30,T0030,Enrolled
En01734,E1080,C0027,2022-02-06,T0161,In Progress
En01735,E1080,C0030,2023-06-26,T0055,In Progress
En01736,E1081,C0016,2020-11-11,T0191,In Progress
En01737,E1082,C0016,2021-01-13,T0191,Enrolled
En01738,E1082,C0014,2021-11-28,T0013,In Progress
En01739,E1082,C0023,2024-07-22,T0050,Enrolled
En01740,E1083,C0030,2023-09-08,T0055,Completed
En01741,E1083,C0026,2024-04-12,T0118,Completed
En01742,E1084,C0043,2024-10-03,T0074,Enrolled
En01743,E1084,C0021,2023-11-24,T0030,In Progress
En01744,E1085,C0008,2024-11-24,T0006,Enrolled
En01745,E1085,C0015,2025-07-28,T0172,Cancelled
En01746,E1086,C0048,2025-10-04,T0143,Completed
En01747,E1087,C0026,2025-02-22,T0118,Enrolled
En01748,E1087,C0033,2022-10-30,T0071,Enrolled
En01749,E1088,C0028,2024-05-05,T0018,Completed
En01750,E1089,C0014,2021-10-18,T0039,In Progress
En01751,E1089,C0002,2020-07-09,T0110,In Progress
En01752,E1090,C0024,2023-12-12,T0097,In Progress
En01753,E1091,C0025,2022-12-23,T0142,Enrolled
En01754,E1092,C0032,2022-04-12,T0007,Completed
En01755,E1093,C0030,2023-07-03,T0055,In Progress
En01756,E1093,C0013,2025-09-04,T0075,In Progress
En01757,E1094,C0035,2021-10-23,T0127,Enrolled
En01758,E1095,C0033,2023-04-01,T0122,Completed
En01759,E1096,C0027,2021-04-23,T0158,Enrolled
En01760,E1096,C0028,2024-02-25,T0072,Cancelled
En01761,E1097,C0003,2024-05-14,T0112,In Progress
En01762,E1099,C0014,2021-03-30,T0013,Enrolled
En01763,E1099,C0022,2025-08-06,T0068,In Progress
En01764,E1099,C0028,2024-01-13,T0018,In Progress
En01765,E1100,C0026,2024-06-25,T0118,In Progress
En01766,E1100,C0047,2025-06-21,T0026,Completed
En01767,E1102,C0028,2024-01-11,T0040,Completed
En01768,E1102,C0025,2022-10-26,T0017,Completed
En01769,E1104,C0023,2024-02-02,T0050,Enrolled
En01770,E1104,C0038,2023-02-11,T0117,Completed
En01771,E1105,C0027,2021-05-01,T0161,In Progress
En01772,E1106,C0027,2021-04-08,T0088,Completed
En01773,E1106,C0025,2023-05-26,T0142,Completed
En01774,E1107,C0041,2024-08-28,T0173,In Progress
En01775,E1109,C0034,2022-08-10,T0146,In Progress
En01776,E1109,C0043,2024-06-28,T0137,Completed
En01777,E1109,C0041,2024-07-31,T0063,Enrolled
En01778,E1111,C0028,2024-05-22,T0040,In Progress
En01779,E1111,C0022,2025-05-09,T0168,Cancelled
En01780,E1111,C0013,2025-10-14,T0075,Completed
En01781,E1112,C0031,2021-10-15,T0010,Cancelled
En01782,E1112,C0014,2021-07-23,T0149,Enrolled
En01783,E1112,C0034,2022-12-04,T0105,In Progress
En01784,E1114,C0014,2021-03-15,T0039,In Progress
En01785,E1114,C0041,2024-03-14,T0063,In Progress
En01786,E1115,C0027,2021-04-05,T0058,Completed
En01787,E1115,C0042,2022-07-07,T0060,In Progress
En01788,E1116,C0022,2025-12-17,T0168,Enrolled
En01789,E1117,C0027,2022-04-03,T0161,In Progress
En01790,E1117,C0028,2024-04-24,T0018,Completed
En01791,E1118,C0014,2021-06-10,T0149,In Progress
En01792,E1118,C0047,2025-08-11,T0041,Cancelled
En01793,E1119,C0027,2023-01-10,T0058,Enrolled
En01794,E1120,C0030,2023-12-07,T0055,Completed
En01795,E1120,C0032,2021-11-24,T0079,In Progress
En01796,E1120,C0026,2024-04-13,T0081,Completed
En01797,E1121,C0011,2023-11-02,T0104,Cancelled
En01798,E1122,C0039,2024-05-08,T0170,Cancelled
En01799,E1122,C0023,2023-12-29,T0132,Enrolled
En01800,E1122,C0045,2024-03-24,T0093,Cancelled
En01801,E1123,C0006,2022-02-10,T0178,Enrolled
En01802,E1124,C0045,2023-05-14,T0093,Completed
En01803,E1124,C0015,2026-03-07,T0049,Enrolled
En01804,E1124,C0048,2025-11-27,T0067,In Progress
En01805,E1125,C0018,2023-12-26,T0190,Completed
En01806,E1126,C0019,2026-01-26,T0065,Cancelled
En01807,E1128,C0038,2023-03-04,T0028,Completed
En01808,E1129,C0006,2021-09-19,T0098,In Progress
En01809,E1129,C0015,2025-07-10,T0129,Enrolled
En01810,E1130,C0021,2024-09-03,T0030,Completed
En01811,E1130,C0026,2024-07-01,T0081,Completed
En01812,E1131,C0033,2022-10-09,T0073,Completed
En01813,E1131,C0023,2024-04-27,T0160,In Progress
En01814,E1132,C0040,2022-03-27,T0167,Enrolled
En01815,E1132,C0033,2023-01-08,T0144,In Progress
