assessment_id,Emp_ID,course_id,score_prct,method_of_assessment,assessment_date,ingest_timestamp,load_key
A01559,E01001,C00028,99,Applied Project Simulation,2024-09-04,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01560,E01002,C00027,55,Competency,2021-06-13,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01561,E01002,C00016,81,Hands-on,2020-12-19,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01562,E01002,C00048,93,Hands-on,2026-05-15,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01563,E01003,C00023,95,Client Interview,2024-06-11,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01564,E01003,C00044,83,Hands-on,2025-07-21,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01565,E01003,C00014,98,Competency,2022-04-11,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01566,E01004,C00020,82,Applied Project Simulation,2023-12-02,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01567,E01005,C00023,71,Competency,2024-08-10,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01568,E01006,C00040,66,Competency,2021-12-04,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01569,E01006,C00048,91,Hands-on,2025-09-15,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01570,E01007,C00025,79,Applied Project Simulation,2023-11-13,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01571,E01008,C00020,96,Competency,2024-03-01,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01572,E01008,C00041,62,Hands-on,2024-06-23,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01573,E01009,C00028,50,Competency,2024-07-14,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01574,E01009,C00027,69,Applied Project Simulation,2022-09-24,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01575,E01010,C00016,56,Client Interview,2021-02-16,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01576,E01010,C00025,50,Applied Project Simulation,2023-09-01,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01577,E01010,C00030,58,Client Interview,2023-08-18,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01578,E01011,C00033,92,Competency,2023-04-29,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01579,E01011,C00018,85,Client Interview,2023-03-21,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01580,E01012,C00030,82,Client Interview,2023-08-28,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01581,E01013,C00009,59,Applied Project Simulation,2021-10-11,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01582,E01013,C00005,71,Client Interview,2024-09-12,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01583,E01013,C00028,68,Client Interview,2024-07-31,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01584,E01015,C00018,96,Competency,2023-03-04,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01585,E01016,C00016,65,Client Interview,2021-03-05,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01586,E01017,C00034,94,Competency,2022-11-13,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01587,E01018,C00040,75,Hands-on,2022-07-13,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01588,E01018,C00025,62,Hands-on,2023-01-14,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01589,E01019,C00015,94,Competency,2025-04-08,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01590,E01020,C00023,91,Hands-on,2024-08-15,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01591,E01021,C00025,72,Client Interview,2023-03-27,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01592,E01022,C00025,53,Applied Project Simulation,2023-03-08,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01593,E01023,C00027,77,Competency,2021-12-07,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01594,E01024,C00013,56,Hands-on,2026-02-19,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01595,E01025,C00016,97,Applied Project Simulation,2020-12-14,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01596,E01026,C00023,56,Competency,2024-04-17,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01597,E01026,C00025,62,Competency,2022-11-07,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01598,E01027,C00025,89,Applied Project Simulation,2023-09-22,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01599,E01027,C00033,84,Competency,2023-03-04,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01600,E01028,C00031,95,Applied Project Simulation,2021-10-02,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01601,E01028,C00022,77,Hands-on,2025-09-04,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01602,E01028,C00016,100,Hands-on,2021-09-15,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01603,E01029,C00043,68,Hands-on,2024-10-04,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01604,E01029,C00013,81,Hands-on,2025-08-19,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01605,E01029,C00041,85,Client Interview,2024-03-05,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01606,E01030,C00025,86,Competency,2023-10-27,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01607,E01031,C00032,66,Applied Project Simulation,2023-12-13,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01608,E01031,C00023,57,Competency,2024-05-17,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01609,E01032,C00028,52,Competency,2024-01-22,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01610,E01032,C00025,91,Competency,2022-09-04,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01611,E01033,C00023,72,Applied Project Simulation,2024-05-25,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01612,E01033,C00016,89,Applied Project Simulation,2023-09-19,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01613,E01034,C00037,72,Competency,2025-10-05,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01614,E01034,C00030,84,Hands-on,2025-01-27,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01615,E01034,C00017,90,Competency,2026-03-02,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01616,E01035,C00042,63,Client Interview,2023-06-13,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01617,E01036,C00025,55,Client Interview,2023-02-07,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01618,E01037,C00012,62,Client Interview,2021-10-16,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01619,E01037,C00023,60,Competency,2024-03-27,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01620,E01037,C00003,59,Hands-on,2023-12-12,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01621,E01038,C00035,75,Hands-on,2021-10-09,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01622,E01038,C00045,88,Hands-on,2024-01-12,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01623,E01038,C00030,98,Hands-on,2023-11-14,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01624,E01040,C00001,88,Hands-on,2022-12-03,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01625,E01042,C00042,62,Competency,2023-05-14,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01626,E01042,C00004,71,Client Interview,2026-05-07,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01627,E01046,C00027,51,Hands-on,2022-01-16,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01628,E01047,C00044,59,Hands-on,2025-06-25,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01629,E01048,C00016,72,Applied Project Simulation,2020-10-20,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01630,E01049,C00033,64,Hands-on,2023-04-04,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01631,E01049,C00028,57,Applied Project Simulation,2024-02-26,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01632,E01051,C00018,71,Competency,2022-04-19,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01633,E01051,C00050,69,Applied Project Simulation,2021-09-09,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01634,E01051,C00027,92,Applied Project Simulation,2021-11-25,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01635,E01052,C00026,99,Competency,2024-11-27,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01636,E01053,C00005,54,Hands-on,2025-01-22,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01637,E01053,C00028,58,Competency,2024-08-08,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01638,E01053,C00024,80,Client Interview,2024-06-28,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01639,E01054,C00011,65,Client Interview,2024-07-07,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01640,E01054,C00009,84,Competency,2022-03-19,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01641,E01055,C00027,83,Competency,2021-12-03,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01642,E01055,C00020,51,Applied Project Simulation,2023-10-27,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01643,E01055,C00007,72,Applied Project Simulation,2026-05-03,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01644,E01057,C00013,76,Competency,2026-01-05,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01645,E01058,C00021,94,Competency,2024-01-26,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01646,E01058,C00006,53,Hands-on,2021-09-03,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01647,E01059,C00030,60,Hands-on,2024-05-11,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01648,E01059,C00041,54,Hands-on,2024-02-07,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01649,E01060,C00029,80,Competency,2026-02-23,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01650,E01060,C00016,78,Hands-on,2021-03-23,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01651,E01060,C00017,52,Competency,2025-04-23,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01652,E01061,C00028,93,Client Interview,2024-06-30,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01653,E01061,C00027,69,Competency,2022-05-31,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01654,E01061,C00031,83,Client Interview,2021-12-16,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01655,E01062,C00023,53,Competency,2024-04-08,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01656,E01062,C00024,80,Applied Project Simulation,2022-09-14,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01657,E01063,C00039,91,Client Interview,2024-04-16,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01658,E01064,C00025,88,Applied Project Simulation,2023-03-03,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01659,E01065,C00044,54,Competency,2024-12-11,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01660,E01065,C00046,90,Hands-on,2023-06-29,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01661,E01065,C00035,86,Hands-on,2023-08-10,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01662,E01066,C00038,55,Applied Project Simulation,2021-04-06,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01663,E01067,C00025,98,Client Interview,2023-03-10,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01664,E01068,C00017,93,Hands-on,2026-06-09,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01665,E01068,C00013,99,Competency,2026-02-26,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01666,E01070,C00026,68,Competency,2025-04-04,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01667,E01070,C00027,55,Competency,2021-09-02,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01668,E01072,C00014,83,Applied Project Simulation,2022-10-24,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01669,E01072,C00039,77,Hands-on,2023-12-30,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01670,E01073,C00032,88,Hands-on,2024-06-09,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01671,E01073,C00040,59,Applied Project Simulation,2024-03-24,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01672,E01074,C00039,70,Competency,2024-07-09,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01673,E01074,C00031,72,Hands-on,2021-09-08,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01674,E01077,C00016,98,Client Interview,2021-02-22,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01675,E01077,C00025,52,Applied Project Simulation,2022-11-06,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01676,E01077,C00030,93,Competency,2023-12-15,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01677,E01078,C00038,70,Applied Project Simulation,2021-10-30,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01678,E01079,C00021,93,Hands-on,2024-10-05,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01679,E01079,C00016,50,Competency,2023-01-15,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01680,E01079,C00033,86,Client Interview,2023-07-01,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01681,E01080,C00027,92,Hands-on,2021-07-03,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01682,E01080,C00028,56,Hands-on,2024-06-16,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01683,E01081,C00016,99,Client Interview,2020-12-31,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01684,E01082,C00016,88,Client Interview,2021-02-18,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01685,E01083,C00027,52,Competency,2022-06-09,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01686,E01083,C00023,86,Hands-on,2024-08-23,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01687,E01084,C00030,100,Client Interview,2024-03-27,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01688,E01084,C00027,98,Client Interview,2023-11-07,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01689,E01085,C00032,54,Applied Project Simulation,2021-09-11,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01690,E01086,C00018,76,Competency,2022-04-28,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01691,E01087,C00047,55,Client Interview,2026-01-14,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01692,E01087,C00026,76,Client Interview,2024-09-24,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01693,E01088,C00027,72,Client Interview,2022-02-21,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01694,E01089,C00014,62,Hands-on,2021-05-31,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01695,E01089,C00025,50,Competency,2022-10-20,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01696,E01089,C00013,57,Client Interview,2026-02-28,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01697,E01090,C00024,90,Client Interview,2023-12-29,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
A01698,E01090,C00042,76,Competency,2024-01-06,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
