assessment_id,Emp_ID,course_id,score_prct,method_of_assessment,assessment_date,ingest_timestamp,load_key
A00276,E00502,C00015,87,Hands-on,2025-10-15,2026-07-07 23:11:49.536755,LCK_20260707_231149_XAJI0Y
A00277,E00502,C00040,48,Client Interview,2022-07-19,2026-07-07 23:11:49.536755,LCK_20260707_231149_XAJI0Y
A00278,E00504,C00041,82,Competency,2024-09-23,2026-07-07 23:11:49.536755,LCK_20260707_231149_XAJI0Y
A00279,E00505,C00038,55,Competency,2021-03-16,2026-07-07 23:11:49.536755,LCK_20260707_231149_XAJI0Y
A00280,E00508,C00030,86,Applied Project Simulation,2024-01-01,2026-07-07 23:11:49.536755,LCK_20260707_231149_XAJI0Y
A00281,E00508,C00014,80,Hands-on,2021-08-14,2026-07-07 23:11:49.536755,LCK_20260707_231149_XAJI0Y
A00282,E00510,C00044,78,Competency,2025-04-08,2026-07-07 23:11:49.536755,LCK_20260707_231149_XAJI0Y
A00283,E00511,C00039,72,Hands-on,2023-10-11,2026-07-07 23:11:49.536755,LCK_20260707_231149_XAJI0Y
A00284,E00511,C00018,73,Client Interview,2023-03-25,2026-07-07 23:11:49.536755,LCK_20260707_231149_XAJI0Y
A00285,E00513,C00028,66,Applied Project Simulation,2024-02-04,2026-07-07 23:11:49.536755,LCK_20260707_231149_XAJI0Y
A00286,E00517,C00021,90,Applied Project Simulation,2024-03-23,2026-07-07 23:11:49.536755,LCK_20260707_231149_XAJI0Y
A00287,E00519,C00048,84,Hands-on,2025-12-11,2026-07-07 23:11:49.536755,LCK_20260707_231149_XAJI0Y
A00288,E00520,C00010,84,Client Interview,2025-05-24,2026-07-07 23:11:49.536755,LCK_20260707_231149_XAJI0Y
A00289,E00520,C00030,82,Hands-on,2023-06-24,2026-07-07 23:11:49.536755,LCK_20260707_231149_XAJI0Y
A00290,E00521,C00030,74,Applied Project Simulation,2023-08-09,2026-07-07 23:11:49.536755,LCK_20260707_231149_XAJI0Y
A00291,E00524,C00025,81,Hands-on,2022-06-09,2026-07-07 23:11:49.536755,LCK_20260707_231149_XAJI0Y
A00292,E00524,C00028,83,Applied Project Simulation,2023-12-13,2026-07-07 23:11:49.536755,LCK_20260707_231149_XAJI0Y
A00293,E00525,C00018,72,Applied Project Simulation,2023-02-24,2026-07-07 23:11:49.536755,LCK_20260707_231149_XAJI0Y
A00294,E00525,C00026,89,Competency,2025-01-28,2026-07-07 23:11:49.536755,LCK_20260707_231149_XAJI0Y
A00295,E00529,C00048,82,Client Interview,2026-05-14,2026-07-07 23:11:49.536755,LCK_20260707_231149_XAJI0Y
A00296,E00530,C00017,86,Competency,2026-03-13,2026-07-07 23:11:49.536755,LCK_20260707_231149_XAJI0Y
A00297,E00531,C00011,76,Hands-on,2024-01-25,2026-07-07 23:11:49.536755,LCK_20260707_231149_XAJI0Y
A00298,E00532,C00021,96,Competency,2024-09-05,2026-07-07 23:11:49.536755,LCK_20260707_231149_XAJI0Y
A00299,E00533,C00050,75,Applied Project Simulation,2021-09-28,2026-07-07 23:11:49.536755,LCK_20260707_231149_XAJI0Y
