trainer_id,course_id,training_start_date,training_end_date,ingest_timestamp,load_key
T00001,C00019,09-08-2025,20-08-2025,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
T00002,C00041,21-03-2024,26-03-2024,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
T00003,C00002,21-04-2021,29-04-2021,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
T00004,C00007,13-05-2026,24-05-2026,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
T00005,C00010,07-07-2025,14-07-2025,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
T00006,C00026,02-11-2024,11-11-2024,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
T00007,C00041,12-02-2024,18-02-2024,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
T00008,C00036,29-02-2024,05-03-2024,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
T00009,C00022,27-12-2025,08-01-2026,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
T00010,C00010,28-06-2025,11-07-2025,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
T00011,C00022,22-04-2025,26-04-2025,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
T00012,C00049,02-03-2024,17-03-2024,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
T00013,C00030,16-05-2023,25-05-2023,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
T00014,C00029,19-04-2025,04-05-2025,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
T00015,C00038,24-04-2021,27-04-2021,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
T00016,C00009,24-03-2022,07-04-2022,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
T00017,C00028,16-05-2024,28-05-2024,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
T00018,C00029,30-08-2025,09-09-2025,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
T00019,C00037,17-11-2025,24-11-2025,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
T00020,C00023,07-02-2024,19-02-2024,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
T00021,C00037,06-08-2025,10-08-2025,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
T00022,C00044,27-10-2024,31-10-2024,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
T00023,C00029,23-03-2026,28-03-2026,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
T00024,C00045,24-02-2024,02-03-2024,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
T00025,C00003,18-03-2024,21-03-2024,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
T00026,C00028,02-09-2023,05-09-2023,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
T00027,C00021,17-05-2024,27-05-2024,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
T00028,C00039,02-08-2023,17-08-2023,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
T00029,C00019,30-05-2026,04-06-2026,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
T00030,C00023,17-09-2024,22-09-2024,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
T00031,C00002,28-08-2020,06-09-2020,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
T00032,C00046,09-09-2023,20-09-2023,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
T00033,C00006,23-09-2021,04-10-2021,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
T00034,C00023,26-03-2024,04-04-2024,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
T00035,C00035,28-08-2021,09-09-2021,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
T00036,C00023,10-11-2024,15-11-2024,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
T00037,C00026,21-08-2024,04-09-2024,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
T00038,C00029,01-07-2025,06-07-2025,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
T00039,C00035,22-12-2020,06-01-2021,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
T00040,C00020,05-10-2023,16-10-2023,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
T00041,C00028,11-02-2024,18-02-2024,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
T00042,C00012,13-03-2022,22-03-2022,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
T00043,C00014,15-09-2022,23-09-2022,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
T00044,C00039,05-07-2023,13-07-2023,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
