enrollment_id,Emp_ID,course_id,enrollment_date,training_provider,course_status,ingest_timestamp,load_key
En01603,E01002,C00027,2021-10-24,T0158,Completed,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
En01604,E01002,C00018,2022-03-08,T0190,Cancelled,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
En01605,E01003,C00023,2024-11-06,T0160,Completed,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
En01606,E01003,C00006,2022-03-07,T0098,In Progress,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
En01607,E01003,C00009,2022-01-29,T0145,In Progress,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
En01608,E01004,C00020,2024-07-09,T0076,Completed,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
En01609,E01005,C00022,2025-09-30,T0068,Completed,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
En01610,E01005,C00023,2024-02-28,T0196,Enrolled,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
En01611,E01006,C00029,2026-02-14,T0099,Completed,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
En01612,E01006,C00006,2022-03-27,T0178,Completed,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
En01613,E01008,C00020,2024-05-19,T0076,Cancelled,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
En01614,E01008,C00047,2025-07-26,T0140,Completed,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
En01615,E01008,C00034,2022-07-17,T0105,Enrolled,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
En01616,E01010,C00016,2020-10-08,T0085,Cancelled,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
En01617,E01011,C00033,2022-10-21,T0080,Completed,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
En01618,E01012,C00030,2023-08-12,T0055,In Progress,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
En01619,E01012,C00010,2025-07-26,T0000,In Progress,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
En01620,E01012,C00025,2023-07-17,T0017,In Progress,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
En01621,E01013,C00009,2021-12-28,T0001,Cancelled,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
En01622,E01013,C00025,2023-05-26,T0142,Enrolled,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
En01623,E01014,C00025,2023-06-20,T0142,Completed,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
En01624,E01015,C00018,2022-11-19,T0136,Completed,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
En01625,E01015,C00035,2021-10-18,T0165,Enrolled,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
En01626,E01015,C00030,2023-07-11,T0169,Completed,2026-07-07 23:13:34.995021,LCK_20260707_231334_XAJI0Y
