enrollment_id,Emp_ID,course_id,enrollment_date,training_provider,course_status,ingest_timestamp,load_key
En00001,E00011,C00029,2026-03-07,T0009,Enrolled,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00002,E00011,C00044,2024-11-30,T0052,Enrolled,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00003,E00013,C00050,2021-08-14,T0021,Completed,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00004,E00013,C00024,2022-07-23,T0153,In Progress,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00005,E00013,C00045,2024-02-11,T0093,Cancelled,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00006,E00016,C00027,2021-10-30,T0158,In Progress,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00007,E00016,C00023,2024-03-05,T0134,Enrolled,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00008,E00017,C00021,2024-03-30,T0030,In Progress,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00009,E00017,C00033,2023-01-18,T0071,Completed,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00010,E00018,C00029,2026-02-03,T0024,Completed,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00011,E00018,C00009,2021-11-06,T0145,Completed,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00012,E00019,C00038,2021-08-03,T0176,Enrolled,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00013,E00019,C00025,2022-12-20,T0017,Completed,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00014,E00019,C00007,2025-12-25,T0014,Cancelled,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00015,E00020,C00039,2023-12-20,T0019,In Progress,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00016,E00021,C00027,2024-09-06,T0088,Completed,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00017,E00021,C00028,2024-09-06,T0150,In Progress,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00018,E00023,C00025,2023-10-25,T0012,Completed,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00019,E00023,C00031,2022-06-07,T0152,Completed,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00020,E00024,C00015,2025-10-06,T0123,Enrolled,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00021,E00024,C00041,2024-06-01,T0063,Completed,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00022,E00025,C00047,2025-09-30,T0109,Enrolled,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00023,E00025,C00033,2023-03-15,T0080,Completed,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00024,E00026,C00025,2022-12-15,T0012,In Progress,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00025,E00027,C00003,2024-03-01,T0083,Enrolled,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00026,E00027,C00032,2021-05-21,T0108,Completed,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00027,E00028,C00024,2022-07-30,T0097,Completed,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00028,E00029,C00030,2023-06-04,T0135,Enrolled,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00029,E00029,C00019,2025-09-14,T0065,Enrolled,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00030,E00029,C00010,2026-03-18,T0000,Completed,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00031,E00030,C00014,2022-05-29,T0013,Completed,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00032,E00031,C00029,2025-06-01,T0009,Completed,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00033,E00032,C00050,2021-04-30,T0021,In Progress,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00034,E00033,C00043,2024-09-29,T0137,Enrolled,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00035,E00034,C00033,2023-04-29,T0101,Cancelled,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00036,E00036,C00021,2024-05-01,T0030,Enrolled,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00037,E00036,C00017,2024-04-27,T0005,Cancelled,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00038,E00036,C00035,2021-04-12,T0127,In Progress,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00039,E00037,C00004,2026-02-05,T0151,Cancelled,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00040,E00038,C00036,2024-03-24,T0155,Enrolled,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00041,E00038,C00026,2024-07-01,T0118,In Progress,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00042,E00039,C00022,2026-02-14,T0168,Enrolled,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00043,E00039,C00045,2023-08-05,T0023,Completed,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00044,E00040,C00017,2025-09-08,T0005,Enrolled,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00045,E00040,C00021,2023-10-29,T0030,Enrolled,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00046,E00040,C00043,2024-07-28,T0089,In Progress,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00047,E00041,C00043,2025-04-11,T0089,Completed,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00048,E00041,C00047,2025-07-15,T0140,Completed,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00049,E00042,C00035,2021-05-22,T0035,Enrolled,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00050,E00042,C00033,2023-06-20,T0073,Enrolled,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00051,E00042,C00015,2025-08-12,T0053,Enrolled,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00052,E00043,C00028,2025-01-20,T0040,In Progress,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00053,E00045,C00039,2024-05-09,T0170,In Progress,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00054,E00046,C00031,2022-01-27,T0010,Completed,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00055,E00046,C00026,2024-07-01,T0081,Cancelled,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00056,E00047,C00023,2024-08-25,T0132,In Progress,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00057,E00047,C00025,2022-11-15,T0037,In Progress,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00058,E00048,C00038,2021-04-01,T0082,Completed,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00059,E00049,C00024,2022-09-30,T0097,Completed,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00060,E00050,C00025,2022-08-26,T0017,Completed,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00061,E00050,C00038,2022-07-19,T0176,In Progress,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00062,E00052,C00034,2022-09-29,T0146,Cancelled,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00063,E00052,C00039,2023-10-23,T0019,Cancelled,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00064,E00053,C00045,2023-07-15,T0093,Enrolled,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00065,E00053,C00010,2025-09-07,T0000,Completed,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00066,E00053,C00023,2023-12-05,T0160,In Progress,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00067,E00054,C00025,2024-02-24,T0037,Cancelled,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00068,E00055,C00001,2024-07-22,T0036,Enrolled,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00069,E00056,C00010,2025-10-11,T0000,In Progress,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00070,E00057,C00017,2025-04-06,T0180,Completed,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00071,E00058,C00045,2024-02-07,T0093,Enrolled,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00072,E00058,C00047,2025-09-12,T0064,Completed,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00073,E00058,C00017,2024-12-28,T0005,Completed,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00074,E00059,C00025,2023-03-01,T0012,Completed,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00075,E00059,C00027,2021-06-01,T0088,In Progress,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00076,E00059,C00013,2025-12-09,T0156,Completed,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00077,E00061,C00022,2026-04-01,T0168,Completed,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00078,E00062,C00025,2022-07-09,T0037,Completed,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00079,E00062,C00027,2021-07-21,T0088,Enrolled,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00080,E00063,C00026,2024-03-11,T0087,Cancelled,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00081,E00063,C00045,2024-05-13,T0023,Completed,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00082,E00063,C00024,2022-06-27,T0091,Cancelled,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00083,E00065,C00024,2024-05-08,T0097,Cancelled,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00084,E00066,C00043,2025-06-15,T0137,Enrolled,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00085,E00068,C00022,2025-10-14,T0068,Cancelled,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00086,E00068,C00014,2023-11-30,T0039,Completed,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00087,E00068,C00025,2023-11-30,T0142,In Progress,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00088,E00070,C00050,2021-03-29,T0147,Completed,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00089,E00070,C00046,2023-12-30,T0070,Enrolled,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00090,E00072,C00022,2026-02-13,T0068,Completed,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00091,E00073,C00008,2024-10-23,T0066,In Progress,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00092,E00073,C00007,2025-09-09,T0102,Completed,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00093,E00073,C00006,2022-04-05,T0184,Completed,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00094,E00074,C00041,2024-04-12,T0173,Completed,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00095,E00075,C00029,2025-05-26,T0099,Enrolled,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00096,E00075,C00022,2025-05-27,T0068,In Progress,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00097,E00076,C00021,2024-07-24,T0030,Completed,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00098,E00076,C00004,2025-10-09,T0151,Cancelled,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00099,E00077,C00025,2022-11-29,T0012,Completed,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00100,E00078,C00031,2021-07-19,T0084,Enrolled,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00101,E00078,C00043,2024-08-21,T0089,Completed,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00102,E00078,C00010,2026-04-23,T0000,Cancelled,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00103,E00079,C00027,2021-05-22,T0058,Cancelled,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00104,E00080,C00025,2023-05-03,T0142,Cancelled,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00105,E00080,C00027,2021-07-07,T0058,Completed,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00106,E00081,C00027,2022-01-11,T0058,In Progress,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00107,E00081,C00038,2021-04-15,T0082,Enrolled,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00108,E00082,C00033,2024-08-16,T0071,Cancelled,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00109,E00082,C00019,2025-07-13,T0197,Cancelled,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00110,E00083,C00045,2024-03-06,T0093,Completed,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00111,E00083,C00013,2026-01-07,T0156,Completed,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00112,E00084,C00010,2025-07-23,T0000,Completed,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00113,E00084,C00040,2023-08-19,T0167,Completed,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00114,E00085,C00023,2024-05-29,T0050,In Progress,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00115,E00085,C00038,2024-04-11,T0116,Completed,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00116,E00087,C00041,2024-02-13,T0173,Completed,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00117,E00088,C00013,2025-11-25,T0156,Completed,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00118,E00088,C00046,2023-08-14,T0070,In Progress,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00119,E00088,C00003,2024-01-18,T0112,Completed,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00120,E00089,C00005,2024-09-10,T0183,Enrolled,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00121,E00089,C00025,2022-08-21,T0037,Enrolled,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00122,E00089,C00031,2022-04-09,T0111,Completed,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00123,E00090,C00030,2023-12-14,T0135,Enrolled,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00124,E00092,C00027,2021-11-27,T0058,Cancelled,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00125,E00093,C00034,2022-10-11,T0105,Enrolled,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00126,E00093,C00033,2022-10-02,T0080,Enrolled,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00127,E00093,C00026,2024-12-01,T0106,Enrolled,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00128,E00094,C00001,2023-04-13,T0022,Completed,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00129,E00094,C00019,2026-03-17,T0197,In Progress,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00130,E00095,C00033,2022-10-05,T0073,Cancelled,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00131,E00096,C00023,2024-10-01,T0132,In Progress,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00132,E00098,C00006,2021-11-03,T0098,Completed,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00133,E00100,C00039,2023-12-30,T0170,In Progress,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00134,E00100,C00014,2021-04-15,T0149,In Progress,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00135,E00101,C00049,2024-03-23,T0189,Completed,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00136,E00101,C00016,2024-03-07,T0085,Enrolled,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00137,E00102,C00026,2025-03-28,T0106,Completed,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00138,E00102,C00041,2024-07-05,T0173,In Progress,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00139,E00103,C00013,2026-03-31,T0075,Cancelled,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00140,E00103,C00018,2022-07-03,T0190,Enrolled,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00141,E00103,C00042,2022-07-12,T0011,Cancelled,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00142,E00104,C00025,2023-01-14,T0012,Completed,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00143,E00104,C00028,2024-06-17,T0150,Completed,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00144,E00105,C00026,2024-05-09,T0106,In Progress,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00145,E00105,C00023,2024-04-11,T0196,Cancelled,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00146,E00106,C00008,2025-03-28,T0193,Enrolled,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00147,E00107,C00027,2021-08-04,T0158,Enrolled,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00148,E00108,C00040,2022-03-22,T0115,Completed,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00149,E00108,C00033,2023-04-19,T0071,In Progress,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00150,E00108,C00050,2021-08-16,T0094,Cancelled,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00151,E00109,C00020,2024-05-04,T0113,Enrolled,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00152,E00109,C00025,2023-10-31,T0017,Completed,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00153,E00109,C00007,2026-04-23,T0014,Completed,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00154,E00110,C00038,2021-07-13,T0116,Cancelled,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00155,E00111,C00032,2021-08-18,T0079,Completed,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00156,E00112,C00022,2026-03-25,T0168,In Progress,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00157,E00113,C00016,2023-11-01,T0085,In Progress,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00158,E00113,C00019,2026-03-16,T0197,Cancelled,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00159,E00114,C00028,2024-05-20,T0150,In Progress,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00160,E00115,C00014,2024-09-03,T0039,Cancelled,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00161,E00116,C00025,2022-12-14,T0142,In Progress,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00162,E00116,C00028,2024-03-20,T0018,In Progress,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00163,E00117,C00021,2024-05-17,T0030,In Progress,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00164,E00117,C00022,2026-04-04,T0068,Completed,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00165,E00117,C00023,2024-01-06,T0162,Cancelled,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00166,E00118,C00013,2025-06-05,T0156,Enrolled,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00167,E00118,C00020,2023-11-04,T0076,Completed,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00168,E00118,C00039,2024-05-04,T0139,Cancelled,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00169,E00119,C00013,2026-05-31,T0126,Cancelled,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00170,E00119,C00041,2023-11-10,T0063,In Progress,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00171,E00120,C00024,2022-09-07,T0097,Completed,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00172,E00120,C00030,2023-07-27,T0169,In Progress,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00173,E00121,C00023,2023-11-30,T0050,In Progress,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00174,E00122,C00023,2024-04-14,T0134,In Progress,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00175,E00123,C00050,2024-07-20,T0147,In Progress,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00176,E00123,C00011,2024-07-25,T0120,Enrolled,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00177,E00123,C00049,2024-07-20,T0054,Completed,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00178,E00124,C00017,2026-02-23,T0005,Cancelled,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00179,E00124,C00016,2020-12-07,T0085,Enrolled,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
En00180,E00125,C00027,2022-01-22,T0158,Completed,2026-07-07 23:12:34.816646,LCK_20260707_231234_XAJI0Y
